rownames,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
458,1455,1500,-5,1753,1810,-17,DL,1997,N997DL,LGA,PBI,152,1035,15,0,2013-01-01T20:00:00Z
749,1952,2000,-8,2314,2325,-11,VX,415,N640VA,JFK,LAX,349,2475,20,0,2013-01-02T01:00:00Z
705,1858,1900,-2,2034,2035,-1,WN,2944,N905WN,LGA,MKE,131,738,19,0,2013-01-02T00:00:00Z
1561,1800,1800,0,1941,1951,-10,B6,1111,N337JB,JFK,RDU,81,427,18,0,2013-01-02T23:00:00Z
1392,1541,1545,-4,1856,1850,6,DL,507,,LGA,MCO,152,950,15,45,2013-01-02T20:00:00Z
1405,1556,1559,-3,1906,1906,0,UA,1242,N38727,EWR,FLL,168,1065,15,59,2013-01-02T20:00:00Z
1158,1056,1100,-4,1334,1400,-26,UA,1605,N11206,EWR,LAS,314,2227,11,0,2013-01-02T20:12:00Z
1199,1156,1200,-4,1254,1320,-26,UA,1248,N76523,EWR,BOS,36,200,12,0,2013-01-02T17:00:00Z
963,741,740,1,1005,1019,-14,UA,328,N533UA,LGA,DEN,220,1620,7,40,2013-01-02T12:00:00Z
386,1353,1357,-4,1549,1525,24,EV,4171,N14105,EWR,MSN,152,799,13,57,2013-01-01T18:00:00Z
279,1130,1125,5,1301,1305,-4,AA,327,N3DEAA,LGA,ORD,2000,10000,11,25,2013-01-01T16:00:00Z
997,815,815,0,1109,1128,-19,DL,2395,N335NW,LGA,PBI,153,1035,8,15,2013-01-02T13:00:00Z
1542,1753,1700,53,2052,2014,38,B6,15,N339JB,JFK,FLL,159,1069,17,0,2013-01-02T22:00:00Z
1238,1256,1252,4,1600,1555,5, b6 ,85,N806JB,JFK,FLL,166,1069,12,52,2013-01-02T17:00:00Z
1571,1818,1815,3,2131,2130,1,AS,7,N552AS,EWR,SEA,332,2402,18,15,2013-01-02T23:00:00Z
335,1246,1225,21,1424,1348,36,B6,66,,JFK,BUF,70,301,12,25,2013-05-01T10:00:00Z
1065,900,900,0,1203,1207,-4,DL,1885,N988DL,LGA,MCO,148,950,9,0,2013-01-02T14:00:00Z
1040,854,851,3,1146,1222,-36,UA,1670,N37434,EWR,SEA,312,2402,8,51,2013-01-02T13:00:00Z
1083,928,900,28,1233,1204,29,UA,1148,N14219,EWR,TPA,159,997,9,0,2013-01-02T14:00:00Z
614,1730,1730,0,2126,2110,16,B6,179,N618JB,JFK,PHX,323,2153,17,30,2013-01-01T22:00:00Z
1505,1715,1720,-5,2007,2025,-18,B6,163,N556JB,JFK,TPA,155,1005,17,20,2013-01-02T22:00:00Z
606,1720,1725,-5,2121,2105,16,DL,513,N723TW,JFK,LAX,363,2475,17,25,2013-01-01T22:00:00Z
647,2343,1724,379,314,1938,456,EV,4321,N21197,EWR,MCI,222,1092,17,24,2013-01-01T22:00:00Z
580,1803,1620,103,2008,1750,58,MQ,4622,N504MQ,LGA,BNA,154,764,16,20,2013-01-01T21:00:00Z
183,914,920,-6,1244,1240,4,AA,1589,N517AA,EWR,DFW,238,1372,9,20,2013-01-01T14:00:00Z
1313,1431,1430,1,1745,1744,1,UA,566,N847UA,LGA,IAH,237,1416,14,30,2013-01-02T19:00:00Z
974,758,755,3,1052,1110,-18,AA,2267,N3CNAA,LGA,MIA,160,1096,7,55,2013-01-02T12:00:00Z
204,933,935,-2,1120,1105,15, wn ,3895,,LGA,MDW,145,725,9,35,2013-01-01T14:00:00Z
799,2102,2108,-6,146,158,-12,UA,1180,N78511,EWR,SJU,199,1608,21,8,2013-01-02T02:00:00Z
62,656,705,-9,1007,940,27,MQ,4534,N722MQ,LGA,XNA,233,1147,7,5,2013-01-01T12:00:00Z
598,1712,1700,12,2042,2036,6,UA,635,N485UA,EWR,SAT,242,1569,17,0,2013-01-01T22:00:00Z
1498,1705,1700,5,2006,1950,16,AA,575,N631AA,JFK,EGE,260,1747,17,0,2013-01-02T22:00:00Z
625,1750,1750,0,2109,2115,-6,UA,535,,JFK,LAX,345,2475,17,50,2013-01-01T22:00:00Z
1150,1057,1045,12,1406,1351,15,UA,491,N677UA,EWR,IAH,226,1400,10,45,2013-01-02T15:00:00Z
976,827,751,36,1103,1015,48,EV,4160,N17185,EWR,OMA,3000,20000,7,51,2013-01-02T12:00:00Z
1174,1126,1125,1,1333,1325,8,WN,316,N258WN,LGA,STL,162,888,11,25,2013-01-02T16:00:00Z
43,635,635,0,1028,940,48,AA,711,N3GKAA,LGA,DFW,248,1389,6,35,2013-01-02T18:13:00Z
547,1626,1630,-4,1855,1853,2,DL,702,N361NW,JFK,DTW,108,509,16,30,2013-01-01T21:00:00Z
257,1059,1053,6,1342,1351,-9,UA,369,N451UA,EWR,LAS,325,2227,10,53,2013-01-01T15:00:00Z
438,1456,1455,1,1830,1813,17,UA,1134,N24212,EWR,AUS,252,1504,14,55,2013-01-01T19:00:00Z
786,2110,2020,50,2340,2245,55,MQ,4662,N532MQ,LGA,ATL,127,762,20,20,2013-01-02T01:00:00Z
32,623,610,13,920,915,5, aa ,1837,N3EMAA,LGA,MIA,153,1096,6,10,2013-01-01T11:00:00Z
652,1800,1800,0,1951,1954,-3,UA,1053,N16703,EWR,CLE,83,404,18,0,2013-01-01T23:00:00Z
311,1203,1205,-2,1501,1437,24,EV,3850,N13978,EWR,ATL,142,746,12,5,2013-01-01T17:00:00Z
1264,1319,1305,14,1633,1615,18,WN,3294,,EWR,HOU,240,1411,13,5,2013-01-02T18:00:00Z
784,2107,2040,27,2354,2359,-5,B6,677,N779JB,JFK,LAX,323,2475,20,40,2013-01-02T01:00:00Z
51,646,645,1,1023,1030,-7,UA,1496,N38727,EWR,SNA,380,2434,6,45,2013-01-01T11:00:00Z
581,1856,1645,131,2212,2005,127,AA,181,N323AA,JFK,LAX,336,2475,16,45,2013-01-01T21:00:00Z
1260,1307,1315,-8,1518,1505,13,US,1615,N543UW,EWR,CLT,109,529,13,15,2013-01-02T18:00:00Z
105,826,715,71,1136,1045,51,AA,443,N3GVAA,JFK,MIA,160,1089,7,15,2013-01-01T12:00:00Z
204,933,935,-2,1120,1105,15,WN,3895,N487WN,LGA,MDW,145,725,9,35,2013-01-01T14:00:00Z
1174,1126,1125,1,1333,1325,8,WN,316,N258WN,LGA,STL,162,888,11,25,2013-01-02T16:00:00Z
786,2110,2020,50,2340,2245,95, mq ,4662,N532MQ,LGA,ATL,127,762,20,20,2013-01-02T01:00:00Z
